R_eye 2.439, 2.630, 2.332, 3.420, 3.149
L_eye 2.44, 2.655, 2.252, 3.472, 3.142
Jaw 22.76, 18.84, 22.24, 19.53, 21.48
Nostrils 6.791, 8.204, 7.770, 7.344, 7.430
R_eyebrow 7.051, 6.509, 6.258, 7.095, 6.632
L_eyebrow 7.013, 6.453, 6.236, 7.138,6.777
mouth_height 1.578, 1.453, 1.042, 0.939, 0.886
mouth_width 14.05, 18.61, 17.36, 14.90, 18.98
